What is the name of the main protagonist in The Legend of Zelda series?|Zelda|Link|Fiskebolle
#What is the name of the recurring main antagonist in the Zelda series?|Zelda|Ganon
#What is the name of the mystical golden triangles that are a central theme in the series?|Zelda|The Triforce|triforce
#In Ocarina of Time, what is the name of Link's horse?|Zelda|Epona
#What tribe is Ganondorf the king of?|Zelda|The Gerudo|gerudo
What is the name of the sacred sword that Link often wields?|Zelda|The Master Sword|master sword
Which game by Sucker Punch Productions has you playing as a samurai on Tsushima Island?|Playstation|Ghost of Tsushima
What is the name of the female protagonist in 'Horizon Zero Dawn'?|Playstation|Aloy
Which racing simulation game is a flagship series for PlayStation?|Playstation|Gran Turismo
What is the name of the long-running platforming duo that first appeared on the PS2, one being a 'lombax'?|Playstation|Ratchet & Clank
Which PlayStation mascot is a bandicoot?|Playstation|Crash Bandicoot
What company manufactures the Xbox console?|Xbox|Microsoft
What is the name of the online gaming service for Xbox?|Xbox|Xbox Live
Which racing game series is a flagship exclusive for the Xbox platform?|Xbox|Forza Motorsport
What is the name of the main enemy alien covenant in the 'Halo' series?|Xbox|The Covenant
What is the name of the protagonist in the 'Gears of War' series?|Xbox|Marcus Fenix
Which game studio developed the original 'Halo: Combat Evolved'?|Xbox|Bungie
What is the name of the subscription service that offers a large library of games for Xbox?|Xbox|Game Pass
What was the name of the original Xbox's launch title featuring a green-armored super-soldier?|Xbox|Halo: Combat Evolved
The 'Fable' series of games was created by which famous game designer?|Xbox|Peter Molyneux
What is the name of the pirate-themed multiplayer adventure game from developer Rare?|Xbox|Sea of Thieves
What is the hardest known natural substance?|General knowledge|Diamond
What is the name of the largest ocean on Earth?|General knowledge|Pacific Ocean
What gas do plants absorb from the atmosphere?|General knowledge|Carbon Dioxide
What is the name of the galaxy that contains our Solar System?|General knowledge|The Milky Way
Who wrote the play 'Romeo and Juliet'?|General knowledge|William Shakespeare
What is the main ingredient in guacamole?|General knowledge|Avocado
What is the name for the colored part of the human eye?|General knowledge|Iris
Which planet is known as the Red Planet?|General knowledge|Mars
In which country would you find the Great Pyramid of Giza?|General knowledge|Egypt
What is the name of the force that pulls objects towards each other?|General knowledge|Gravity
Who directed the 'Lord of the Rings' trilogy?|Movies|Peter Jackson
What is the name of the fictional African country in the movie 'Black Panther'?|Movies|Wakanda
What is the name of the spaceship in 'Star Wars: A New Hope' captained by Han Solo?|Movies|Millennium Falcon
What is the highest-grossing film of all time (unadjusted for inflation)?|Movies|Avatar
In 'The Matrix', what color pill does Neo take?|Movies|Red
What is the name of the friendly ghost in the 1995 film of the same name?|Movies|Casper
Which movie features a giant shark that terrorizes a beach community?|Movies|Jaws
What is the name of the lion cub protagonist in 'The Lion King'?|Movies|Simba
Who played the character of Jack Dawson in the movie 'Titanic'?|Movies|Leonardo DiCaprio
What is the name of the school of witchcraft and wizardry in the 'Harry Potter' series?|Movies|Hogwarts
What is the largest land animal in the world?|Animals|African Elephant
What is a group of lions called?|Animals|A pride
Which animal is known as the 'king of the jungle'?|Animals|Lion
What is the only mammal capable of sustained flight?|Animals|Bat
What is the fastest land animal?|Animals|Cheetah
What black and white bear is native to China?|Animals|Giant Panda
Which animal has the longest neck?|Animals|Giraffe
What is a baby kangaroo called?|Animals|A joey|joey
Which large aquatic mammal is known for its tusks?|Animals|Walrus
What type of animal is a 'Sidewinder'?|Animals|Snake
What is the capital city of Japan?|Capital cities|Tokyo
What is the capital city of Australia?|Capital cities|Canberra
What is the capital city of Canada?|Capital cities|Ottawa
What is the capital city of Egypt?|Capital cities|Cairo
What is the capital city of Italy?|Capital cities|Rome
What is the capital city of Spain?|Capital cities|Madrid
What is the capital city of Germany?|Capital cities|Berlin
What is the capital city of Brazil?|Capital cities|Brasília
What is the capital city of Norway?|Capital cities|Oslo
What is the capital city of France?|Capital cities|Paris
